Edad;Hombres;Mujeres
0;0,97;0,48
1;0,56;0,35
2;0,39;0,26
3;0,27;0,2
4;0,21;0,19
5;0,21;0,18
6;0,22;0,18
7;0,22;0,21
8;0,22;0,21
9;0,23;0,21
10;0,23;0,22
11;0,27;0,23
12;0,33;0,27
13;0,39;0,3
14;0,47;0,33
15;0,61;0,35
16;0,74;0,39
17;0,87;0,41
18;0,94;0,43
19;0,98;0,46
20;1;0,47
21;1;0,48
22;1,02;0,5
23;1,03;0,5
24;1,05;0,52
25;1,07;0,54
26;1,12;0,56
27;1,17;0,6
28;1,17;0,63
29;1,15;0,66
30;1,14;0,68
31;1,13;0,73
32;1,13;0,77
33;1,15;0,82
34;1,18;0,88
35;1,21;0,97
36;1,28;1,03
37;1,34;1,11
38;1,44;1,17
39;1,54;1,23
40;1,65;1,3
41;1,79;1,38
42;1,96;1,48
43;2,15;1,59
44;2,39;1,72
45;2,65;1,87
46;2,9;2,05
47;3,17;2,27
48;3,33;2,5
49;3,52;2,78
50;3,76;3,08
51;4,06;3,41
52;4,47;3,79
53;4,93;4,2
54;5,5;4,63
55;6,17;5,1
56;6,88;5,63
57;7,64;6,19
58;8,27;6,8
59;8,99;7,39
60;9,86;8,01
61;10,94;8,68
62;12,25;9,39
63;13,71;10,14
64;15,24;10,96
65;16,85;11,85
66;18,47;12,82
67;20,09;13,89
68;21,85;15,07
69;23,64;16,36
70;25,77;17,81
71;28,15;19,47
72;31,32;21,3
73;34,62;23,3
74;38,08;25,5
75;41,91;27,9
76;46,08;30,53
77;50,92;33,41
78;56,56;36,58
79;63,06;40,05
80;70,14;43,86
81;78,19;49,11
82;86,54;54,95
83;95,51;60,81
84;105,43;67,27
85;116,57;74,45
86;128,91;80,99
87;142,35;90,79
88;156,73;101,07
89;171,88;112,02
90;187,66;121,92
91;202,44;126,85
92;217,83;136,88
93;234,04;151,64
94;251,14;170,31
95;269,17;193,66
96;285,64;215,66
97;303,18;238,48
98;321,88;242,16
99;341,85;255,23
100;363,19;275,73
101;380,08;297,84
102;398,06;322,21
103;417,2;349,06
104;437,56;378,61
105;459,21;410,57
106;482,22;443,33
107;506,69;476,89
108;532,69;510,65
109;560,31;545,81
110;589,64;581,77
111;620,79;616,33
112;653,84;649,85
113;688,94;680,37
114;726,18;723,39
115;765,7;763,41
116;807,61;804,93
117;852,07;850,44
118;899,23;892,44
119;949,22;935,11
120;1000;1000